"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 29-Sep-2023"
"NIFTY 500","24,248.50","24,329.45","24,191.05","24,245.20","24,271.30","-","26.10","0.11","2,21,16,81,794","86,326.81","24,573.40","16,466.25","2.26","40.36"
"KFINTECH","1,035.95","1,164.15","1,031.00","1,021.20","1,133.00","-","111.80","10.95","93,15,671","1,041.90","1,189.00","425.55","9.51","142.27"
"CAPLIPOINT","1,900.00","2,109.95","1,899.60","1,897.95","2,084.95","-","187.00","9.85","20,84,096","422.58","2,158.80","954.00","9.09","101.60"
"WELSPUNLIV","164.75","175.80","164.12","163.67","175.30","-","11.63","7.11","2,22,68,739","385.23","212.95","115.65","-9.32","-"
"POLICYBZR","1,645.00","1,740.00","1,595.40","1,619.95","1,727.10","-","107.15","6.61","47,76,243","803.16","1,966.50","661.30","-2.36","126.13"
"NATIONALUM","214.50","227.39","212.80","210.29","224.00","-","13.71","6.52","7,06,53,372","1,569.42","227.39","88.60","22.80","130.69"
"BASF","7,386.40","8,246.00","7,385.25","7,385.25","7,852.00","-","466.75","6.32","4,26,550","340.32","8,246.00","2,430.00","20.08","209.87"
"BALRAMCHIN","645.00","688.55","642.00","648.90","688.55","-","39.65","6.11","59,27,802","396.13","688.55","343.50","13.68","55.80"
"INDGN","697.00","736.30","690.00","692.30","734.00","-","41.70","6.02","18,72,053","135.43","736.30","470.10","25.61","-"
"FIVESTAR","778.00","832.00","777.00","780.25","826.15","-","45.90","5.88","38,66,302","314.35","862.75","600.05","8.76","18.47"
"PAYTM","688.40","742.00","681.70","688.30","728.00","-","39.70","5.77","2,10,39,195","1,513.01","998.30","310.00","17.60","-14.73"
"OLECTRA","1,652.70","1,763.00","1,646.05","1,655.45","1,749.45","-","94.00","5.68","26,48,856","458.53","2,221.95","1,018.00","12.02","45.70"
"POLYCAB","6,987.95","7,353.55","6,902.40","6,955.20","7,335.00","-","379.80","5.46","12,21,518","882.63","7,353.55","3,801.00","7.53","37.12"
"NAM-INDIA","655.40","690.60","653.25","651.55","686.00","-","34.45","5.29","10,83,315","73.18","739.45","318.00","1.81","108.95"
"SAREGAMA","624.70","688.90","604.00","631.75","665.00","-","33.25","5.26","90,85,950","591.31","688.90","309.60","32.67","86.11"
"HBLPOWER","604.90","635.25","601.05","603.95","635.00","-","31.05","5.14","22,29,917","138.23","724.00","254.40","0.70","135.72"
"JPPOWER","18.72","19.15","18.60","18.24","19.15","-","0.91","4.99","3,42,82,426","65.31","24.00","8.35","6.86","86.83"
"ALKYLAMINE","2,288.00","2,443.15","2,285.00","2,293.25","2,405.00","-","111.75","4.87","2,25,161","53.86","2,735.00","1,808.00","14.48","4.78"
