"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 31-Aug-2023"
"NIFTY 500","23,728.55","23,766.40","23,673.95","23,631.40","23,734.55","103.15","0.44","7,01,50,24,989","2,01,987.15","23,766.40","16,466.25","0.87","40.24"
"PAYTM","558.00","631.45","543.00","554.50","624.90","70.40","12.70","4,18,66,652","2,523.76","998.30","310.00","25.83","-27.17"
"JSL","735.00","800.00","728.40","736.15","794.00","59.85","8.15","31,27,059","244.72","848.00","427.15","7.14","74.53"
"SUNDARMFIN","4,705.95","5,166.00","4,685.05","4,723.20","5,095.00","371.80","7.87","5,83,290","293.77","5,166.00","2,570.35","16.77","94.55"
"TRIVENI","468.00","484.00","459.30","439.10","473.00","33.90","7.72","1,28,47,651","610.57","484.00","267.50","12.78","51.72"
"AUBANK","641.50","697.00","641.50","640.35","689.25","48.90","7.64","1,64,26,385","1,111.11","813.40","553.70","6.60","-4.82"
"RADICO","1,818.50","1,975.75","1,812.50","1,817.60","1,953.60","136.00","7.48","32,72,326","633.01","1,975.75","1,141.25","12.68","53.92"
"CAPLIPOINT","1,811.50","1,919.60","1,810.30","1,794.45","1,918.00","123.55","6.89","4,89,755","91.97","1,984.90","954.00","21.03","80.30"
"KEC","909.95","969.00","890.30","900.75","955.95","55.20","6.13","35,43,477","327.11","969.00","550.05","2.38","41.09"
"GODFRYPHLP","6,134.00","6,570.00","6,018.00","6,129.95","6,500.00","370.05","6.04","3,60,453","227.59","6,570.00","1,992.10","53.92","202.54"
"TORNTPOWER","1,664.90","1,770.00","1,658.05","1,659.35","1,754.25","94.90","5.72","14,50,689","250.72","1,908.00","652.80","-6.59","165.41"
"GSPL","421.00","447.00","398.00","419.30","442.35","23.05","5.50","3,50,24,086","1,488.35","447.00","254.50","30.46","60.28"
"SAPPHIRE","1,614.90","1,694.00","1,583.70","1,599.45","1,686.40","86.95","5.44","3,42,589","56.67","1,817.20","1,213.00","0.96","17.00"
"RENUKA","52.00","52.00","49.66","47.41","49.95","2.54","5.36","11,32,32,641","573.98","57.25","36.55","-2.02","7.23"
"PRAJIND","785.00","804.25","760.20","728.95","766.00","37.05","5.08","1,29,82,795","1,013.93","812.95","448.00","8.73","55.70"
"TIMKEN","3,717.00","3,875.00","3,715.00","3,698.80","3,875.00","176.20","4.76","2,77,138","106.28","4,817.90","2,524.50","-9.88","18.30"
"UNOMINDA","1,127.90","1,186.00","1,118.00","1,126.85","1,177.00","50.15","4.45","12,67,640","147.88","1,207.30","548.60","12.77","94.94"
