"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 29-Nov-2023"
"NIFTY 500","22,695.40","22,843.50","22,603.10","22,687.00","22,835.85","-","148.85","0.66","1,82,55,38,366","75,563.22","24,573.40","18,582.95","-0.60","25.24"
"CASTROLIND","199.97","217.00","199.20","200.73","213.89","-","13.16","6.56","1,94,39,025","412.34","284.40","137.75","-6.28","43.28"
"HAPPSTMNDS","726.90","775.25","721.35","723.30","769.35","-","46.05","6.37","39,93,483","305.49","961.00","718.00","-5.96","-13.67"
"AFFLE","1,634.00","1,752.00","1,595.05","1,619.25","1,720.00","-","100.75","6.22","21,64,946","370.85","1,752.00","998.20","6.39","42.61"
"DIXON","16,025.00","16,842.70","16,020.00","15,807.40","16,770.00","-","962.60","6.09","14,11,103","2,346.03","16,842.70","5,391.00","11.87","165.60"
"INTELLECT","717.10","768.20","717.10","717.00","760.00","-","43.00","6.00","10,83,092","81.70","1,199.00","693.00","-3.50","-3.76"
"KAYNES","6,015.55","6,356.95","5,995.35","5,987.45","6,339.00","-","351.55","5.87","8,63,163","537.00","6,356.95","2,275.85","8.62","145.94"
"ANANTRAJ","679.45","714.65","674.25","673.45","710.00","-","36.55","5.43","17,64,989","124.11","796.25","259.50","-11.06","154.66"
"JKCEMENT","4,289.95","4,510.00","4,260.00","4,278.25","4,505.00","-","226.75","5.30","3,96,098","176.49","4,895.50","3,547.20","-1.54","16.84"
"VTL","476.40","501.15","474.00","476.10","501.00","-","24.90","5.23","4,76,091","23.43","592.00","374.90","0.76","15.07"
"OFSS","11,695.00","12,299.00","11,670.90","11,696.45","12,292.00","-","595.55","5.09","1,15,769","140.11","12,619.00","3,968.00","8.08","189.28"
"POLICYBZR","1,888.40","2,005.00","1,848.15","1,893.90","1,990.00","-","96.10","5.07","12,49,088","237.13","2,005.00","725.25","10.99","119.89"
"COCHINSHIP","1,631.50","1,656.15","1,620.00","1,577.30","1,656.15","-","78.85","5.00","5,95,105","98.11","2,979.45","577.88","3.28","-"
"SUZLON","63.11","66.12","62.28","62.98","66.12","-","3.14","4.99","6,11,28,869","394.16","86.04","33.90","-7.57","-"
"IGL","330.00","344.65","326.30","327.05","343.20","-","16.15","4.94","77,92,673","263.91","570.35","306.10","-22.44","-17.15"
"INOXWIND","188.93","209.79","188.45","191.04","200.00","-","8.96","4.69","4,83,87,019","988.16","261.90","67.66","-14.32","-33.64"
"TORNTPOWER","1,510.70","1,619.80","1,506.80","1,510.70","1,581.10","-","70.40","4.66","33,16,136","527.13","2,037.00","869.00","-17.24","58.61"
"GODREJPROP","2,790.65","2,910.50","2,763.80","2,776.15","2,905.00","-","128.85","4.64","9,70,580","277.52","3,402.70","1,825.80","-3.70","48.25"
