"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 03-Nov-2023"
"NIFTY 500","22,458.30","22,697.50","22,343.95","22,518.30","22,679.85","-","161.55","0.72","2,14,34,15,568","79,523.59","24,573.40","17,156.85","-3.63","33.40"
"GLAND","1,601.00","1,850.00","1,600.00","1,610.90","1,822.00","-","211.10","13.10","57,56,461","1,029.58","2,220.95","1,509.30","4.79","21.34"
"MRPL","146.10","167.90","145.10","147.58","165.70","-","18.12","12.28","3,03,78,727","486.85","289.25","107.35","-8.67","49.08"
"HFCL","119.36","128.98","118.60","119.36","127.75","-","8.39","7.03","3,81,71,252","476.53","171.00","65.05","-8.58","93.54"
"KIRLOSBROS","1,943.60","2,116.00","1,934.80","1,934.70","2,041.00","-","106.30","5.49","14,09,639","289.85","2,684.00","803.25","15.36","122.77"
"JINDALSAW","311.90","326.85","309.15","309.90","326.10","-","16.20","5.23","21,54,626","68.78","383.85","189.98","-55.20","-29.37"
"ADANIENSOL","968.90","1,024.90","956.35","964.80","1,012.00","-","47.20","4.89","21,00,961","207.65","1,348.00","720.00","5.43","32.59"
"HSCL","556.00","594.00","554.00","559.80","587.00","-","27.20","4.86","14,60,253","84.31","688.70","244.75","-7.56","140.68"
"OIL","470.00","498.50","467.15","472.30","495.00","-","22.70","4.81","38,76,641","188.54","767.90","195.47","-13.47","63.35"
"JSWSTEEL","954.90","1,003.00","952.00","954.90","998.50","-","43.60","4.57","51,77,028","509.98","1,063.00","744.90","-3.31","33.97"
"REDINGTON","187.75","198.82","187.08","189.07","197.70","-","8.63","4.56","1,04,56,547","205.00","237.55","144.75","6.69","36.86"
"ACI","652.75","691.80","649.15","653.60","683.00","-","29.40","4.50","10,98,787","74.76","837.70","516.00","-2.86","32.23"
"BSE","4,445.00","4,625.00","4,402.30","4,413.65","4,602.00","-","188.35","4.27","26,80,408","1,211.64","4,989.80","1,774.45","12.04","155.78"
"ANANTRAJ","725.50","757.90","715.05","727.05","756.90","-","29.85","4.11","8,94,580","66.01","796.25","237.95","3.95","209.84"
"JUBLFOOD","567.10","595.50","567.10","567.10","590.30","-","23.20","4.09","28,31,538","165.90","715.45","421.05","-5.91","16.80"
"SAIL","113.75","118.79","113.75","113.90","118.53","-","4.63","4.06","2,59,38,942","303.36","175.35","84.40","-14.73","39.61"
"AJANTPHARM","3,001.35","3,125.35","3,001.35","2,984.50","3,105.05","-","120.55","4.04","2,03,240","62.65","3,485.00","1,783.50","-6.41","70.43"
"MAZDOCK","4,027.00","4,325.00","3,986.60","4,027.00","4,187.30","-","160.30","3.98","45,61,831","1,909.70","5,860.00","1,795.40","3.00","118.35"
"SUPREMEIND","4,214.20","4,450.00","4,185.05","4,214.20","4,380.00","-","165.80","3.93","2,98,250","130.03","6,460.00","3,601.00","-17.44","-0.39"
"MAHSEAMLES","619.90","650.00","618.00","619.95","643.50","-","23.55","3.80","5,73,706","36.79","1,097.00","566.50","1.77","-12.44"
"MANAPPURAM","152.50","159.72","151.72","152.90","158.70","-","5.80","3.79","1,37,59,215","215.55","230.40","134.40","-16.02","13.52"
"NMDC","226.46","236.50","226.30","226.50","234.98","-","8.48","3.74","2,23,70,552","520.52","286.35","159.45","-0.77","47.21"
"TATASTEEL","147.00","152.55","146.95","146.95","152.45","-","5.50","3.74","4,27,72,283","644.49","184.60","117.50","-8.67","29.83"
"JMFINANCIL","136.20","142.00","135.54","135.42","140.40","-","4.98","3.68","90,31,528","125.63","168.75","69.00","-1.64","59.21"
"OBEROIRLTY","1,925.00","2,010.00","1,917.10","1,936.05","2,007.10","-","71.05","3.67","10,90,293","215.45","2,065.20","1,201.00","10.52","62.29"
"SHYAMMETL","835.05","875.00","835.05","839.55","870.00","-","30.45","3.63","7,09,231","60.61","956.90","438.95","-4.07","98.09"
"EIDPARRY","779.00","815.50","779.00","782.60","810.25","-","27.65","3.53","6,26,272","50.73","875.50","471.60","-4.28","69.44"
"HINDALCO","675.60","701.45","674.80","674.30","698.00","-","23.70","3.51","49,31,994","340.80","772.65","478.15","-6.73","46.79"
"PNBHOUSING","950.35","992.30","945.00","951.10","984.50","-","33.40","3.51","6,80,909","65.87","1,202.20","604.00","4.32","34.98"
"TRIVENI","402.85","419.00","400.60","403.05","417.10","-","14.05","3.49","3,54,494","14.60","518.00","267.50","-9.71","15.49"
"ABSLAMC","788.30","831.90","781.05","789.50","816.20","-","26.70","3.38","9,47,004","77.72","831.90","439.10","14.77","84.58"
"BAJAJ-AUTO","9,530.00","10,007.30","9,500.20","9,525.55","9,844.95","-","319.40","3.35","10,19,901","996.07","12,774.00","5,349.05","-16.13","83.93"
"MINDACORP","505.50","524.70","498.55","503.70","520.50","-","16.80","3.34","5,07,465","26.22","652.00","334.30","-12.78","52.27"
"AWL","328.00","343.45","326.20","331.35","341.90","-","10.55","3.18","17,82,176","60.32","410.50","285.80","1.75","7.86"
"IDEA","7.88","8.20","7.81","7.88","8.13","-","0.25","3.17","55,55,05,932","447.74","19.18","7.58","-16.85","-40.80"
"CHENNPETRO","610.20","645.20","610.00","614.70","633.00","-","18.30","2.98","58,66,529","369.76","1,275.00","569.10","-32.95","6.73"
"ADANIPOWER","584.95","607.40","581.00","585.00","602.20","-","17.20","2.94","20,88,555","123.92","895.85","380.00","-6.02","56.88"
"HINDZINC","545.00","565.00","542.80","543.80","559.75","-","15.95","2.93","25,98,508","145.34","807.70","284.60","8.20","87.11"
"TVSSCS","185.00","193.50","184.50","185.61","191.00","-","5.39","2.90","13,52,237","25.72","223.90","145.00","-2.67","-10.49"
"SAPPHIRE","312.90","334.35","310.55","312.90","321.95","-","9.05","2.89","8,94,930","29.03","401.00","258.00","-8.33","-75.42"
"JINDALSTEL","909.00","939.00","905.15","909.20","935.30","-","26.10","2.87","22,70,819","210.53","1,097.00","597.25","-8.33","56.82"
"PATANJALI","1,809.00","1,863.00","1,794.80","1,791.40","1,842.00","-","50.60","2.82","13,29,063","245.38","1,992.20","1,169.95","13.72","34.97"
"EMAMILTD","675.65","700.60","674.55","675.65","694.05","-","18.40","2.72","2,86,572","19.73","860.00","417.10","-6.47","36.56"
"BRIGADE","1,184.60","1,225.00","1,170.35","1,182.80","1,215.00","-","32.20","2.72","3,23,514","39.00","1,453.10","665.00","-11.05","82.55"
"AXISBANK","1,138.95","1,174.90","1,133.45","1,139.25","1,170.15","-","30.90","2.71","1,17,01,049","1,351.47","1,339.65","980.35","-0.57","18.49"
