"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Sep-2023"
"NIFTY 500","23,746.00","23,794.35","23,434.90","23,762.80","23,477.70","-285.10","-1.20","3,87,04,22,486","99,764.36","23,836.35","16,466.25","2.75","35.04"
"GODFRYPHLP","6,383.95","7,320.00","6,325.00","6,412.05","7,115.00","702.95","10.96","9,87,438","687.50","7,320.00","1,992.10","71.94","240.94"
"FLUOROCHEM","3,542.00","3,839.70","3,542.00","3,524.30","3,785.10","260.80","7.40","28,38,149","1,064.85","3,920.00","2,476.00","15.00","26.31"
"GLS","1,093.00","1,175.00","1,093.00","1,093.00","1,148.00","55.00","5.03","14,05,761","162.20","1,175.00","611.00","24.84","82.56"
"USHAMART","341.75","354.90","335.35","340.05","354.35","14.30","4.21","29,35,488","100.54","427.80","252.80","-0.55","-0.33"
"SUMICHEM","521.00","548.30","519.20","516.95","538.30","21.35","4.13","22,76,632","122.54","567.35","336.10","6.58","19.62"
"SBICARD","779.05","812.00","778.90","767.70","799.40","31.70","4.13","1,63,37,930","1,307.48","857.80","647.95","12.15","-4.07"
"NH","1,298.00","1,351.50","1,295.15","1,297.50","1,348.00","50.50","3.89","10,63,273","141.81","1,444.90","979.95","9.87","33.00"
"SUVENPHAR","1,140.00","1,224.00","1,140.00","1,151.10","1,195.15","44.05","3.83","14,05,226","168.25","1,224.00","507.00","20.56","133.02"
"GMMPFAUDLR","1,390.00","1,415.00","1,371.25","1,362.15","1,412.00","49.85","3.66","5,63,126","78.84","1,897.95","1,143.10","0.51","-21.05"
"MARICO","648.00","673.95","647.95","643.90","666.90","23.00","3.57","68,22,379","453.91","692.80","486.30","2.50","13.90"
"AAVAS","1,855.00","1,909.70","1,850.10","1,815.75","1,875.15","59.40","3.27","15,77,520","296.46","1,978.95","1,307.00","14.89","12.32"
"TATATECH","1,083.00","1,122.90","1,075.05","1,074.90","1,109.35","34.45","3.20","1,33,65,102","1,477.08","1,400.00","970.10","11.36","-"
"PPLPHARMA","218.61","228.00","218.36","219.59","225.80","6.21","2.83","3,17,83,605","715.54","228.00","87.50","26.19","111.21"
"CREDITACC","1,180.10","1,214.35","1,176.60","1,179.25","1,207.90","28.65","2.43","4,97,706","59.44","1,796.00","1,153.00","-5.96","-16.18"
"SONATSOFTW","681.95","697.20","676.00","675.15","691.00","15.85","2.35","18,32,956","126.34","870.00","469.60","7.71","-37.39"
"TMB","473.95","487.70","472.40","472.35","482.90","10.55","2.23","3,66,098","17.65","611.35","438.05","6.88","-18.08"
"ALKYLAMINE","2,233.05","2,337.95","2,227.55","2,222.15","2,270.00","47.85","2.15","4,00,150","91.41","2,735.00","1,808.00","7.46","-9.05"
"PIIND","4,513.00","4,660.95","4,483.35","4,509.95","4,606.00","96.05","2.13","6,13,140","281.66","4,660.95","3,220.00","4.32","26.43"
"LXCHEM","304.10","316.85","298.00","301.90","308.20","6.30","2.09","1,02,24,076","315.93","320.95","220.00","19.73","-1.40"
"ZOMATO","255.00","262.15","254.25","254.85","259.90","5.05","1.98","7,57,00,809","1,963.68","280.90","96.50","-2.15","159.82"
"UTIAMC","1,266.90","1,319.00","1,258.10","1,267.25","1,292.00","24.75","1.95","10,30,222","132.90","1,319.00","741.00","31.71","63.28"
"FDC","558.90","574.40","558.15","560.65","570.90","10.25","1.83","3,34,371","19.03","577.50","343.30","10.27","42.26"
"BLUESTARCO","1,705.00","1,743.50","1,691.80","1,694.70","1,724.00","29.30","1.73","6,86,477","118.20","1,897.80","741.55","6.31","117.45"
"HONASA","528.00","538.75","526.00","524.10","533.00","8.90","1.70","14,87,417","78.94","538.75","256.30","16.47","-"
"PRESTIGE","1,815.00","1,829.95","1,770.00","1,782.15","1,811.75","29.60","1.66","12,24,053","220.34","2,074.80","591.25","10.46","187.63"
"RATNAMANI","3,709.65","3,875.00","3,706.05","3,716.40","3,777.70","61.30","1.65","1,26,724","48.42","3,938.80","2,510.15","6.10","38.76"
"KPRMILL","856.00","878.75","849.20","847.55","861.00","13.45","1.59","4,25,660","36.77","1,009.25","710.00","-7.98","13.88"
"FINEORG","5,345.00","5,526.00","5,328.75","5,344.55","5,429.00","84.45","1.58","63,746","34.85","5,958.85","4,021.00","1.59","9.54"
"BRIGADE","1,306.25","1,333.00","1,304.45","1,302.05","1,321.90","19.85","1.52","5,97,373","78.79","1,453.10","565.00","12.18","107.73"
"SUPREMEIND","5,225.00","5,480.00","5,224.00","5,230.70","5,309.00","78.30","1.50","3,72,769","200.60","6,460.00","3,601.00","2.16","16.73"
"JSL","729.25","741.70","722.45","719.65","730.05","10.40","1.45","9,32,802","68.11","848.00","427.15","7.05","50.96"
"ASTERDM","407.00","422.50","405.10","406.00","411.60","5.60","1.38","21,79,625","90.23","558.00","311.10","4.37","21.14"
"GMDCLTD","372.00","379.50","367.70","364.20","369.15","4.95","1.36","40,37,000","150.96","506.00","256.00","-1.04","42.00"
"JUBLPHARMA","965.75","969.90","935.00","937.70","950.05","12.35","1.32","6,95,261","66.16","969.90","318.75","12.61","105.16"
"THERMAX","4,290.60","4,393.80","4,287.25","4,279.45","4,335.00","55.55","1.30","63,491","27.54","5,839.95","2,500.25","-1.37","52.16"
"JAIBALAJI","1,132.20","1,135.50","1,050.00","1,102.65","1,115.00","12.35","1.12","1,72,219","18.93","1,314.00","296.50","24.28","255.37"
"INOXWIND","223.50","230.00","220.16","222.47","224.90","2.43","1.09","1,55,77,292","350.74","237.00","47.05","30.85","12.60"
"SUNTV","798.00","806.80","783.50","796.40","805.00","8.60","1.08","8,00,327","63.68","921.00","567.60","-9.85","29.71"
"BAJFINANCE","7,255.55","7,395.00","7,255.55","7,244.90","7,314.85","69.95","0.97","18,42,827","1,350.56","8,192.00","6,187.80","10.25","-0.63"
"BLUEDART","8,164.15","8,235.00","8,080.00","8,083.30","8,160.00","76.70","0.95","6,231","5.09","8,980.00","5,486.60","0.46","31.23"
"ALKEM","6,278.00","6,346.70","6,224.05","6,276.55","6,335.00","58.45","0.93","1,74,137","109.63","6,346.70","3,447.00","14.47","73.49"
"PIDILITIND","3,210.00","3,259.00","3,205.00","3,209.20","3,238.00","28.80","0.90","4,41,560","142.72","3,278.95","2,292.55","2.56","28.97"
"ASIANPAINT","3,238.00","3,285.90","3,225.35","3,238.25","3,266.50","28.25","0.87","21,31,256","695.97","3,422.95","2,670.10","5.55","0.84"
"PHOENIXLTD","3,654.95","3,791.90","3,591.25","3,592.95","3,624.00","31.05","0.86","7,38,915","271.46","4,137.00","1,728.05","10.29","99.10"
"CLEAN","1,502.15","1,518.90","1,482.10","1,502.15","1,515.00","12.85","0.86","1,42,132","21.40","1,690.00","1,243.00","-4.68","2.97"
"GLAND","1,882.00","1,916.95","1,879.50","1,891.80","1,907.95","16.15","0.85","1,44,328","27.46","2,220.95","1,475.05","-6.01","12.15"
"GRINDWELL","2,450.75","2,539.40","2,445.00","2,440.25","2,460.00","19.75","0.81","1,88,694","46.55","2,960.00","1,875.20","0.87","12.19"
"MAXHEALTH","884.95","903.35","881.05","885.50","892.50","7.00","0.79","17,62,540","157.62","979.90","531.05","5.14","49.03"
"TORNTPOWER","1,677.45","1,705.00","1,663.00","1,673.40","1,686.00","12.60","0.75","5,46,682","92.10","1,908.00","685.00","-4.30","135.41"
"TANLA","940.00","951.25","924.60","935.50","942.50","7.00","0.75","4,61,818","43.24","1,248.00","782.05","0.37","-10.93"
"COFORGE","6,551.25","6,713.75","6,540.00","6,551.25","6,600.00","48.75","0.74","6,27,971","417.46","6,847.45","4,287.25","10.10","18.08"
"KEC","1,037.05","1,040.00","987.15","987.75","995.00","7.25","0.73","61,47,714","621.56","1,040.00","550.05","16.82","46.94"
"FINPIPE","307.75","316.20","306.75","306.60","308.80","2.20","0.72","9,62,962","30.01","355.90","185.80","6.61","23.72"
"INTELLECT","988.00","1,024.00","985.60","988.00","994.70","6.70","0.68","4,81,339","48.44","1,199.00","625.00","5.57","36.33"
"CRISIL","4,590.80","4,747.95","4,562.25","4,589.25","4,619.90","30.65","0.67","56,938","26.59","5,268.50","3,660.70","8.71","19.02"
"3MINDIA","35,399.95","35,589.90","34,465.55","34,898.15","35,125.05","226.90","0.65","8,995","31.51","40,856.50","28,498.95","-6.90","9.24"
"BALKRISIND","2,960.00","2,988.00","2,934.10","2,957.55","2,976.70","19.15","0.65","2,82,058","83.78","3,375.00","2,193.80","-7.35","23.90"
