"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Aug-2023"
"NIFTY 500","22,773.45","22,870.85","22,650.80","22,443.30","22,848.90","405.60","1.81","2,45,91,62,870","98,148.97","23,637.75","16,466.25","-0.60","34.75"
"TEJASNET","1,191.00","1,312.95","1,165.00","1,151.05","1,295.95","144.90","12.59","17,98,066","226.78","1,495.00","651.25","-10.33","55.02"
"HFCL","126.45","139.79","124.30","123.65","138.49","14.84","12.00","11,15,29,895","1,476.54","140.50","61.50","5.78","88.52"
"JUBLINGREA","619.00","679.50","610.45","605.45","668.60","63.15","10.43","43,07,310","282.49","679.50","406.15","25.01","55.77"
"STLTECH","134.48","144.70","132.30","132.19","144.25","12.06","9.12","95,57,715","134.63","179.05","109.50","3.42","-9.13"
"RKFORGE","880.00","939.00","879.35","860.85","935.80","74.95","8.71","40,45,323","368.61","998.45","563.50","-5.33","58.13"
"PPLPHARMA","169.70","180.90","169.01","167.73","180.90","13.17","7.85","92,16,354","163.11","180.90","87.50","13.51","76.52"
"OIL","590.00","624.90","585.60","571.30","615.50","44.20","7.74","2,32,72,182","1,430.89","653.00","174.37","26.21","126.51"
"TV18BRDCST","44.70","46.80","44.68","43.43","46.70","3.27","7.53","2,01,55,391","92.07","68.70","38.65","3.36","18.04"
"ONGC","312.40","330.95","312.00","306.10","328.90","22.80","7.45","6,61,10,716","2,156.86","344.70","172.10","14.19","90.29"
"AVANTIFEED","660.00","688.85","645.10","639.45","687.00","47.55","7.44","24,13,904","161.59","764.40","385.90","11.76","70.95"
"CASTROLIND","246.00","258.50","245.95","241.85","255.30","16.95","7.11","1,02,79,918","261.11","279.80","132.40","0.72","67.94"
"DEEPAKFERT","964.95","1,018.95","953.80","948.65","1,016.00","67.35","7.10","28,00,442","277.71","1,018.95","450.00","33.63","83.91"
"CAMS","4,038.00","4,214.00","3,980.00","3,880.15","4,153.30","273.15","7.04","16,32,840","674.16","4,910.00","2,230.00","9.79","73.89"
"HBLPOWER","593.30","617.50","581.15","576.00","616.00","40.00","6.94","20,38,065","122.61","684.65","210.40","7.68","163.04"
"ZOMATO","261.53","267.60","251.81","249.08","265.98","16.90","6.78","12,73,79,201","3,332.75","278.70","88.30","27.99","172.20"
"BIKAJI","741.10","794.45","738.95","735.80","784.50","48.70","6.62","16,67,021","128.28","794.45","450.20","11.28","62.64"
"NUVAMA","5,898.95","6,149.00","5,876.65","5,816.55","6,109.00","373.95","6.52","53,796","32.20","6,719.00","2,100.00","27.91","-"
"JIOFIN","316.45","337.20","313.30","311.35","331.00","19.65","6.31","2,07,55,735","670.37","394.70","202.80","-6.52","-"
"COALINDIA","507.70","532.80","507.70","499.60","530.80","31.20","6.24","1,82,93,730","960.55","542.25","227.00","8.14","128.16"
"BHEL","293.40","305.60","292.30","287.55","305.50","17.95","6.24","1,89,11,910","566.18","335.35","94.80","-3.73","215.32"
"CUMMINSIND","3,564.00","3,815.80","3,452.00","3,522.10","3,735.55","213.45","6.06","34,98,089","1,291.62","4,171.90","1,653.30","-9.32","113.99"
"KNRCON","366.00","375.30","353.45","353.45","374.80","21.35","6.04","13,87,746","50.51","415.40","236.75","4.82","54.07"
"JINDALSAW","614.95","651.35","597.50","602.20","638.20","36.00","5.98","22,62,163","141.73","664.00","302.45","15.64","97.85"
"AWL","374.90","391.45","367.15","364.40","386.15","21.75","5.97","96,14,242","366.83","410.50","285.80","16.30","-1.81"
"LALPATHLAB","3,187.90","3,360.00","3,157.15","3,168.25","3,347.90","179.65","5.67","5,61,902","181.95","3,360.00","1,943.70","13.50","37.92"
"ITI","284.75","296.45","281.50","279.85","295.65","15.80","5.65","9,39,187","27.23","384.30","110.95","-5.17","145.41"
"ABB","7,556.00","7,915.00","7,470.35","7,465.70","7,887.10","421.40","5.64","4,70,318","365.47","9,149.95","3,850.00","-9.32","73.89"
"POLICYBZR","1,512.00","1,551.95","1,432.00","1,434.85","1,515.55","80.70","5.62","26,70,502","400.18","1,551.95","661.30","9.72","89.63"
"NAM-INDIA","619.00","636.50","604.30","601.25","635.00","33.75","5.61","7,81,581","48.96","685.90","306.05","-3.48","104.90"
"IRCON","270.30","276.40","261.55","261.05","275.65","14.60","5.59","1,05,58,975","285.96","351.60","96.05","-10.82","169.60"
"ARE&M","1,510.00","1,550.00","1,465.00","1,466.45","1,548.00","81.55","5.56","10,35,720","155.46","1,775.95","599.00","-9.14","-"
"SAIL","139.80","142.85","137.21","135.46","142.85","7.39","5.46","2,23,00,426","311.51","175.35","81.80","-8.98","50.59"
"AJANTPHARM","2,803.10","2,965.00","2,800.00","2,788.45","2,940.00","151.55","5.43","4,83,349","141.17","2,965.00","1,650.05","29.69","68.39"
"CHAMBLFERT","508.90","519.45","497.65","492.00","518.60","26.60","5.41","52,55,234","268.07","574.35","250.05","-0.09","88.93"
"BEML","3,955.55","4,129.00","3,907.35","3,913.75","4,125.00","211.25","5.40","5,71,804","229.01","5,488.00","1,905.05","-19.51","103.15"
"GMRINFRA","94.45","97.31","93.71","92.09","97.00","4.91","5.33","2,37,61,549","227.94","103.75","50.90","0.78","87.95"
"ALOKINDS","25.88","26.44","25.56","25.07","26.40","1.33","5.31","1,86,53,727","48.63","39.05","15.10","-7.04","72.96"
"RCF","197.80","203.90","194.60","193.54","203.78","10.24","5.29","44,31,814","88.36","245.00","105.25","-0.54","74.94"
"BALRAMCHIN","474.90","493.80","471.90","468.45","492.60","24.15","5.16","25,10,690","121.45","493.90","343.50","15.37","22.02"
"DIXON","11,350.00","11,686.85","11,308.00","11,110.85","11,680.00","569.15","5.12","4,28,350","492.69","12,879.00","4,385.05","-7.19","147.46"
"SHYAMMETL","700.95","740.80","700.95","696.65","732.10","35.45","5.09","17,00,448","123.25","769.95","401.40","2.32","82.83"
"NATCOPHARM","1,367.00","1,422.00","1,367.00","1,351.65","1,420.00","68.35","5.06","16,92,741","237.78","1,422.00","724.20","15.57","67.41"
"TRENT","5,289.00","5,499.80","5,274.60","5,220.70","5,484.50","263.80","5.05","7,17,292","387.62","5,919.30","1,674.40","-2.62","223.85"
"AARTIIND","730.00","756.00","721.60","718.75","755.00","36.25","5.04","16,39,495","122.11","769.25","438.00","4.47","58.82"
"HAL","4,600.95","4,749.00","4,570.00","4,514.30","4,741.00","226.70","5.02","20,00,224","933.08","5,674.75","1,767.80","-14.62","26.34"
"ANGELONE","2,080.00","2,168.25","2,066.20","2,051.40","2,154.00","102.60","5.00","6,83,981","144.89","3,896.00","1,501.05","-8.92","42.19"
"IEX","193.51","199.75","191.05","189.91","199.40","9.49","5.00","1,63,34,341","319.22","199.75","121.35","7.33","55.93"
"SWSOLAR","626.00","642.15","621.35","611.60","642.15","30.55","5.00","4,89,824","31.03","828.00","253.00","-7.01","64.61"
"SUZLON","69.00","69.58","68.11","66.27","69.58","3.31","4.99","6,55,76,822","453.27","71.64","18.25","25.39","273.08"
"ELECON","578.95","601.90","564.05","565.05","593.25","28.20","4.99","7,39,639","43.51","716.75","346.08","-56.88","-25.57"
"FDC","503.00","523.90","496.60","495.90","520.55","24.65","4.97","6,90,870","35.46","547.20","343.30","0.50","35.81"
"DATAPATTNS","2,901.05","3,010.55","2,836.15","2,853.45","2,995.00","141.55","4.96","2,81,267","82.22","3,655.00","1,735.00","-11.78","48.76"
"CHEMPLASTS","545.95","567.65","545.95","534.70","561.00","26.30","4.92","8,51,482","47.70","633.90","402.80","2.14","24.84"
"TANLA","900.00","946.30","898.60","891.20","935.00","43.80","4.91","7,82,207","72.16","1,248.00","782.05","-1.46","-17.04"
"NLCINDIA","260.00","277.95","255.55","254.35","266.65","12.30","4.84","93,18,247","249.54","311.80","115.05","3.34","125.41"
"KAJARIACER","1,399.00","1,477.00","1,385.10","1,389.85","1,456.00","66.15","4.76","87,179","12.50","1,545.00","1,110.35","-1.15","0.97"
"VBL","1,499.00","1,535.00","1,481.00","1,461.95","1,531.45","69.50","4.75","23,89,000","361.85","1,702.80","802.65","-5.84","84.43"
"HINDCOPPER","289.40","297.50","285.60","283.65","297.00","13.35","4.71","38,60,469","112.51","415.80","135.10","-10.46","99.19"
"NBCC","168.75","172.50","165.22","163.79","171.49","7.70","4.70","1,45,57,432","245.98","198.30","46.50","-9.18","256.13"
"BEL","295.50","301.00","289.80","287.25","300.65","13.40","4.66","2,21,99,473","657.04","340.50","126.60","-7.36","133.53"
"BDL","1,385.10","1,408.00","1,350.10","1,342.55","1,404.95","62.40","4.65","11,05,077","152.29","1,794.70","450.00","-19.01","22.78"
"NETWORK18","96.00","100.75","95.39","93.98","98.31","4.33","4.61","1,45,04,219","142.81","135.70","57.80","14.91","66.71"
"CROMPTON","421.55","437.40","420.10","416.50","435.50","19.00","4.56","30,13,975","129.80","470.70","261.25","6.18","44.45"
"TVSSCS","180.00","185.60","178.50","177.44","185.50","8.06","4.54","7,25,146","13.21","258.00","145.00","-4.13","-"
"GAIL","227.11","234.08","225.60","223.40","233.50","10.10","4.52","1,69,63,242","391.36","246.30","111.50","4.74","104.39"
"BALAMINES","2,359.00","2,415.00","2,309.50","2,292.60","2,396.00","103.40","4.51","1,09,995","26.07","2,735.00","1,960.00","0.45","7.42"
"RECLTD","583.70","593.35","574.40","565.45","590.90","25.45","4.50","1,35,08,638","790.38","654.00","198.35","1.72","178.45"
"MAZDOCK","4,759.95","4,920.00","4,542.75","4,641.25","4,850.00","208.75","4.50","28,35,229","1,353.51","5,860.00","1,714.05","-14.78","167.63"
"HUDCO","295.00","299.70","287.30","285.80","298.50","12.70","4.44","95,10,995","279.35","353.70","61.30","-9.12","362.07"
"NAVINFLUOR","3,515.00","3,620.00","3,502.00","3,466.00","3,620.00","154.00","4.44","2,46,049","87.88","4,724.25","2,875.95","-1.74","-18.23"
"POLYCAB","6,489.70","6,750.00","6,480.60","6,413.15","6,697.60","284.45","4.44","3,48,385","231.06","7,331.45","3,801.00","1.10","45.83"
"LUPIN","2,020.00","2,029.95","1,951.05","1,910.75","1,994.55","83.80","4.39","57,96,751","1,152.48","2,029.95","1,043.50","12.67","84.47"
"GPPL","217.69","226.29","217.01","212.70","222.00","9.30","4.37","38,29,741","85.05","243.34","115.55","-1.23","81.34"
"LXCHEM","254.00","259.90","248.15","248.15","259.00","10.85","4.37","10,98,616","27.83","320.95","220.00","-4.36","-4.30"
"VEDL","425.50","434.45","418.50","413.90","431.75","17.85","4.31","1,52,97,435","656.60","506.75","208.00","-8.77","81.68"
"PFC","494.50","501.70","478.00","474.05","494.45","20.40","4.30","2,40,72,515","1,176.11","580.00","200.44","-7.82","84.54"
"NATIONALUM","177.50","180.40","174.90","172.62","180.00","7.38","4.28","83,25,532","148.14","209.00","86.20","-9.89","88.98"
"JKPAPER","474.00","484.00","464.40","460.35","480.00","19.65","4.27","7,49,406","35.61","638.75","319.10","-16.79","43.49"
"SWANENERGY","677.50","685.70","663.00","655.40","683.25","27.85","4.25","12,30,396","83.25","782.25","241.95","3.39","167.98"
"SAFARI","2,350.00","2,350.00","2,178.00","2,142.30","2,233.00","90.70","4.23","14,71,927","334.68","2,350.00","1,437.53","3.28","-23.58"
"RENUKA","45.60","46.38","44.85","44.39","46.24","1.85","4.17","1,34,50,811","61.42","57.25","36.55","-3.87","-2.47"
"SRF","2,507.00","2,595.75","2,488.95","2,488.95","2,591.85","102.90","4.13","6,04,727","154.42","2,693.95","2,082.25","7.89","13.39"
"AUROPHARMA","1,416.60","1,472.10","1,414.25","1,401.60","1,459.50","57.90","4.13","28,19,701","408.55","1,472.10","815.80","12.40","68.75"
"LICI","1,115.00","1,127.80","1,084.75","1,079.55","1,124.00","44.45","4.12","24,88,460","276.72","1,222.00","597.35","10.62","71.39"
"PIIND","4,410.00","4,458.30","4,325.90","4,264.75","4,440.00","175.25","4.11","8,91,155","392.57","4,467.05","3,220.00","16.73","17.04"
"RTNINDIA","72.90","74.75","72.29","71.54","74.45","2.91","4.07","19,38,933","14.27","94.85","45.10","-8.90","56.31"
"IRB","61.68","63.00","60.56","60.48","62.94","2.46","4.07","2,19,93,333","136.01","78.15","25.55","-7.08","142.86"
"FINEORG","5,223.30","5,463.00","5,124.35","5,171.50","5,381.25","209.75","4.06","27,407","14.36","5,958.85","4,021.00","-0.07","14.81"
"PERSISTENT","4,560.00","4,693.95","4,534.00","4,499.45","4,680.00","180.55","4.01","3,80,357","176.45","4,964.80","1,189.50","-1.99","-4.22"
"GNFC","651.95","669.00","648.65","642.30","668.00","25.70","4.00","10,24,127","67.54","814.90","532.00","-6.67","19.07"
"INOXWIND","172.06","174.99","167.22","166.18","172.80","6.62","3.98","85,50,090","146.24","190.00","46.50","8.71","-18.03"
"NIACL","258.10","265.30","254.20","253.70","263.80","10.10","3.98","21,34,032","55.41","324.70","122.60","-3.81","105.38"
"PVRINOX","1,414.95","1,468.50","1,414.95","1,406.10","1,462.00","55.90","3.98","3,75,609","54.33","1,875.45","1,204.20","-0.29","-8.57"
"ASTERDM","383.70","397.40","375.00","379.00","393.90","14.90","3.93","34,88,550","135.67","558.00","294.35","16.29","24.94"
"INDHOTEL","605.00","623.75","600.40","596.95","620.20","23.25","3.89","27,16,217","166.08","662.95","371.60","0.99","57.35"
"LLOYDSME","723.05","744.10","720.30","716.25","744.10","27.85","3.89","3,63,577","26.67","799.00","492.00","-3.13","13.48"
"SAMMAANCAP","158.00","161.10","155.90","154.90","160.92","6.02","3.89","32,90,503","52.17","234.80","131.65","-","-"
"ZYDUSLIFE","1,247.40","1,278.20","1,240.00","1,227.70","1,275.00","47.30","3.85","25,79,230","326.58","1,278.20","567.75","9.50","94.27"
"RVNL","565.30","568.95","545.80","546.05","567.00","20.95","3.84","1,33,70,669","745.99","647.00","122.40","15.22","352.10"
"GRAPHITE","510.00","524.80","502.30","500.15","519.30","19.15","3.83","14,75,339","76.12","709.40","412.25","-9.09","12.10"
"YESBANK","23.89","24.15","23.39","23.25","24.14","0.89","3.83","15,47,99,051","367.18","32.85","15.70","-9.72","42.31"
"PRAJIND","674.80","680.00","652.15","652.20","677.00","24.80","3.80","3,37,319","22.43","757.95","431.70","-8.20","51.38"
"IDBI","93.70","95.95","92.42","91.77","95.25","3.48","3.79","1,57,76,012","148.50","107.90","59.25","12.64","46.42"
"BIOCON","342.00","348.05","335.30","334.50","347.15","12.65","3.78","36,45,534","124.80","376.80","217.50","-6.31","32.69"
"SJVN","139.00","141.45","136.75","135.60","140.71","5.11","3.77","88,69,977","123.22","170.50","52.75","-1.11","148.61"
"IDEA","15.60","15.78","15.37","15.17","15.74","0.57","3.76","27,11,37,134","423.52","19.18","7.50","-8.02","88.26"
"UNITDSPR","1,425.10","1,466.00","1,421.25","1,411.10","1,463.85","52.75","3.74","16,89,987","245.60","1,466.00","976.05","16.64","-"
"GRSE","2,132.00","2,224.95","1,963.95","2,099.80","2,178.00","78.20","3.72","27,91,493","587.03","2,833.80","577.05","-19.62","264.01"
"TVSMOTOR","2,535.00","2,618.65","2,535.00","2,478.80","2,571.10","92.30","3.72","23,38,106","601.30","2,618.65","1,317.00","5.94","92.09"
"JSWINFRA","316.00","322.80","313.50","310.55","322.10","11.55","3.72","12,05,526","38.30","360.95","142.20","-10.21","-"
"ALKEM","5,337.90","5,524.75","5,337.90","5,323.10","5,521.00","197.90","3.72","4,18,116","228.48","5,578.80","3,447.00","8.86","33.41"
"ADANIENT","3,118.00","3,190.00","3,112.00","3,072.70","3,186.45","113.75","3.70","18,68,169","590.90","3,743.90","2,142.00","1.21","24.91"
"MUTHOOTFIN","1,812.45","1,858.50","1,792.50","1,787.95","1,853.95","66.00","3.69","5,36,312","98.56","1,895.00","1,182.35","2.47","36.22"
"GICRE","385.00","391.55","379.05","376.15","390.00","13.85","3.68","13,79,332","53.21","467.80","194.50","-3.15","88.49"
"PAYTM","500.00","511.00","493.40","488.10","506.05","17.95","3.68","34,79,206","175.29","998.30","310.00","15.87","-40.54"
"PRSMJOHNSN","156.95","161.83","155.45","155.35","161.05","5.70","3.67","1,37,768","2.19","199.00","120.00","-3.22","24.39"
"SYNGENE","828.50","853.75","821.15","820.95","851.00","30.05","3.66","9,69,209","81.63","860.25","607.65","16.18","1.53"
"ABCAPITAL","206.40","212.69","203.00","204.17","211.60","7.43","3.64","58,44,921","121.44","246.90","155.00","-10.38","14.00"
"MCX","4,225.00","4,299.00","4,170.05","4,148.65","4,299.00","150.35","3.62","2,45,749","104.37","4,400.00","1,538.00","7.63","163.55"
"CHENNPETRO","937.00","944.00","915.40","906.20","938.80","32.60","3.60","5,07,488","47.11","1,275.00","347.90","-1.36","152.22"
"KARURVYSYA","210.95","216.54","208.07","207.06","214.49","7.43","3.59","14,33,758","30.35","232.75","115.60","6.04","72.98"
"BSE","2,380.00","2,416.00","2,341.90","2,317.35","2,400.40","83.05","3.58","6,14,984","146.86","3,264.70","835.50","-0.28","176.43"
"IRFC","181.70","183.00","177.05","176.36","182.65","6.29","3.57","4,69,32,256","845.11","229.00","44.85","-3.09","266.65"
"SCHAEFFLER","3,940.00","3,958.80","3,804.50","3,820.25","3,955.00","134.75","3.53","1,22,565","47.94","4,951.00","2,612.20","-14.20","29.49"
