"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 09-Oct-2023"
"NIFTY 500","23,600.10","23,797.45","23,570.70","23,512.55","23,599.60","-","87.05","0.37","2,58,90,85,946","91,187.71","24,573.40","16,466.25","0.52","37.79"
"JPPOWER","20.28","22.80","20.21","20.02","22.15","-","2.13","10.64","31,44,21,886","684.50","24.00","8.35","26.67","144.53"
"GAEL","130.00","144.00","129.50","130.56","142.56","-","12.00","9.19","1,52,18,774","212.73","210.60","120.03","-0.20","-58.68"
"DIVISLAB","5,655.90","6,029.95","5,642.05","5,547.05","5,987.90","-","440.85","7.95","30,22,787","1,783.14","6,029.95","3,295.30","16.58","61.65"
"CDSL","1,382.05","1,484.95","1,380.00","1,362.10","1,470.00","-","107.90","7.92","1,08,62,241","1,573.71","1,664.40","631.00","5.02","12.48"
"RITES","306.00","333.25","305.05","300.35","322.35","-","22.00","7.32","2,52,78,428","823.67","412.98","216.15","-50.88","-30.86"
"FLUOROCHEM","4,150.00","4,439.90","4,148.05","4,126.60","4,395.00","-","268.40","6.50","3,93,843","171.39","4,510.50","2,476.00","14.59","54.29"
"RADICO","1,995.10","2,170.00","1,995.10","1,992.80","2,120.00","-","127.20","6.38","4,60,871","95.77","2,332.70","1,141.25","5.87","74.04"
"TORNTPOWER","1,901.00","1,984.70","1,886.05","1,816.65","1,930.05","-","113.40","6.24","48,57,383","944.12","1,984.70","691.95","14.18","167.43"
"LLOYDSME","946.00","1,005.60","936.80","928.30","984.90","-","56.60","6.10","11,91,970","117.71","1,005.60","492.00","27.73","78.65"
"AFFLE","1,536.80","1,618.00","1,516.65","1,521.60","1,612.45","-","90.85","5.97","4,75,918","75.80","1,715.00","988.15","-0.75","50.81"
"EXIDEIND","498.30","523.50","494.15","493.80","521.00","-","27.20","5.51","1,31,96,334","678.81","620.35","241.70","7.53","103.67"
"ACE","1,304.00","1,359.95","1,299.05","1,285.10","1,355.00","-","69.90","5.44","4,20,930","56.65","1,695.00","657.30","7.33","95.58"
"GICRE","374.65","390.50","370.70","368.95","388.50","-","19.55","5.30","12,98,591","50.19","467.80","212.50","1.59","79.93"
"POWERINDIA","14,150.00","15,167.95","14,095.00","14,055.25","14,800.00","-","744.75","5.30","1,14,257","168.15","15,167.95","3,895.90","24.58","267.70"
"LEMONTREE","116.75","121.73","116.68","115.10","121.16","-","6.06","5.26","31,18,328","37.47","158.00","100.75","-6.86","4.25"
"ELGIEQUIP","644.90","695.00","644.60","641.65","675.00","-","33.35","5.20","12,89,206","87.69","798.95","466.80","-5.38","35.32"
"WELSPUNLIV","164.75","172.30","163.58","163.57","171.85","-","8.28","5.06","52,20,546","88.20","212.95","115.65","-6.86","-"
"ESCORTS","3,915.00","4,075.80","3,905.60","3,855.40","4,049.95","-","194.55","5.05","4,70,400","188.89","4,420.00","2,648.40","9.71","26.37"
"IPCALAB","1,545.00","1,618.00","1,540.00","1,537.75","1,615.00","-","77.25","5.02","7,53,305","119.77","1,618.00","925.25","13.30","72.23"
"SCHNEIDER","790.00","829.95","790.00","786.65","826.00","-","39.35","5.00","4,42,512","36.10","980.00","300.00","2.00","136.94"
"BLUESTARCO","1,909.80","2,040.00","1,905.15","1,910.90","2,005.00","-","94.10","4.92","7,64,585","152.68","2,199.55","814.00","16.50","131.37"
"TIMKEN","3,624.95","3,769.80","3,591.10","3,591.05","3,767.00","-","175.95","4.90","41,096","15.18","4,817.90","2,524.50","1.07","25.15"
"SUZLON","74.59","80.60","74.55","73.64","77.10","-","3.46","4.70","13,61,34,618","1,062.39","86.04","26.30","2.64","177.36"
"APARINDS","9,701.00","10,100.00","9,500.00","9,553.45","10,000.00","-","446.55","4.67","1,25,426","124.84","10,624.80","4,545.65","12.17","90.82"
"GLAXO","2,705.15","2,884.00","2,705.15","2,704.70","2,829.00","-","124.30","4.60","1,25,198","35.31","3,088.00","1,385.05","-0.63","82.71"
