"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 17-Aug-2023"
"NIFTY 500","22,846.10","23,071.75","22,750.30","22,672.65","23,056.50","383.85","1.69","2,04,54,85,207","87,750.86","23,637.75","16,466.25","-0.64","37.22"
"CDSL","2,588.00","2,812.00","2,580.35","2,560.60","2,806.00","245.40","9.58","63,76,190","1,735.22","2,812.00","1,107.35","17.00","140.61"
"ZENSARTECH","747.00","805.00","747.00","740.35","800.00","59.65","8.06","43,44,166","343.79","839.50","456.30","2.36","55.49"
"NAM-INDIA","645.90","691.20","645.90","639.00","690.30","51.30","8.03","35,70,929","240.02","691.20","308.50","3.69","116.02"
"POLICYBZR","1,585.00","1,700.00","1,562.05","1,574.05","1,692.00","117.95","7.49","30,54,093","501.63","1,709.95","661.30","18.94","138.25"
"WELCORP","665.00","711.00","665.00","660.90","710.00","49.10","7.43","46,95,996","327.78","711.00","310.00","9.42","123.46"
"PEL","885.00","951.75","880.85","882.40","944.00","61.60","6.98","41,37,386","381.60","1,139.95","736.60","-3.12","-10.73"
"MPHASIS","2,726.05","2,918.50","2,726.05","2,718.85","2,908.00","189.15","6.96","17,86,753","513.61","3,080.95","2,069.10","3.98","24.40"
"MAPMYINDIA","2,131.00","2,279.00","2,131.00","2,112.95","2,249.00","136.05","6.44","4,79,505","106.49","2,747.85","1,600.00","-9.33","35.49"
"BSOFT","576.05","606.75","572.20","566.00","602.00","36.00","6.36","95,97,224","571.98","861.85","446.25","-17.39","27.77"
"POWERINDIA","11,150.00","11,860.00","11,145.00","11,120.65","11,800.00","679.35","6.11","35,705","41.43","14,382.00","3,895.90","-1.88","173.31"
"ABCAPITAL","205.00","216.98","205.00","203.47","215.85","12.38","6.08","1,05,87,128","225.68","246.90","155.00","-4.14","19.58"
"FSL","298.00","325.00","296.25","290.40","307.75","17.35","5.97","3,85,75,796","1,206.54","325.00","145.60","21.14","108.19"
"EQUITASBNK","79.52","83.20","78.10","78.53","83.00","4.47","5.69","1,22,82,424","99.61","116.50","74.60","-9.81","-0.78"
"MCX","4,379.55","4,669.00","4,379.05","4,379.55","4,625.00","245.45","5.60","11,83,924","543.31","4,669.00","1,538.00","17.36","194.05"
"LTTS","4,985.00","5,224.50","4,980.35","4,916.85","5,190.20","273.35","5.56","5,29,747","273.67","5,873.35","4,111.00","6.99","21.02"
"RHIM","625.00","672.00","621.55","591.95","624.40","32.45","5.48","95,40,481","621.02","824.00","504.25","5.50","-11.30"
"DLF","835.50","874.00","830.40","821.65","866.20","44.55","5.42","88,26,463","757.65","967.60","465.30","2.74","81.47"
"SONACOMS","656.70","691.30","656.40","652.35","686.50","34.15","5.23","19,24,721","131.60","764.50","488.10","-3.84","21.13"
"MGL","1,744.40","1,823.00","1,744.35","1,730.10","1,820.00","89.90","5.20","6,07,441","108.80","1,912.15","970.55","4.66","84.40"
"IEX","187.00","195.50","187.00","185.81","195.00","9.19","4.95","1,46,92,697","283.19","200.90","121.35","9.86","54.19"
"MEDANTA","1,070.05","1,134.45","1,063.00","1,065.75","1,116.60","50.85","4.77","4,30,818","47.55","1,513.90","666.90","-6.83","63.79"
"GLENMARK","1,514.70","1,576.00","1,425.85","1,491.20","1,562.00","70.80","4.75","51,36,030","788.01","1,576.00","722.10","10.99","100.92"
"METROPOLIS","2,007.15","2,077.95","1,984.20","1,981.35","2,074.00","92.65","4.68","2,27,808","46.81","2,150.25","1,296.00","1.54","52.80"
"PVRINOX","1,460.00","1,503.20","1,457.00","1,432.90","1,499.55","66.65","4.65","10,47,796","155.84","1,875.45","1,204.20","4.29","-12.59"
"JUSTDIAL","1,222.50","1,289.00","1,216.65","1,212.10","1,268.00","55.90","4.61","5,04,563","63.30","1,366.95","693.05","23.27","66.24"
"ASAHIINDIA","621.00","640.95","616.50","613.55","640.70","27.15","4.43","69,900","4.41","722.00","491.60","-1.28","26.87"
"BALRAMCHIN","511.00","525.90","502.10","502.50","524.60","22.10","4.40","35,15,856","182.08","525.90","343.50","16.07","32.43"
"ECLERX","2,402.15","2,509.80","2,402.15","2,402.15","2,507.00","104.85","4.36","96,577","23.89","2,828.00","1,582.00","-0.41","50.73"
"HINDCOPPER","306.00","315.50","298.50","298.65","311.65","13.00","4.35","1,42,92,228","439.16","415.80","135.10","-4.59","120.24"
"KAYNES","4,868.80","5,210.00","4,734.00","4,868.80","5,080.00","211.20","4.34","9,42,607","474.76","5,210.00","1,702.00","22.25","190.46"
"ACI","720.00","755.00","720.00","716.50","747.45","30.95","4.32","6,81,984","50.27","837.70","510.05","6.76","33.10"
"UBL","1,904.15","1,976.30","1,900.05","1,891.50","1,973.00","81.50","4.31","3,12,571","60.93","2,182.45","1,492.15","-5.34","27.48"
"GODFRYPHLP","4,366.00","4,629.00","4,366.00","4,343.30","4,529.00","185.70","4.28","2,37,001","107.72","4,821.30","1,992.10","2.15","116.91"
"WIPRO","501.00","517.45","497.95","495.15","516.10","20.95","4.23","1,29,65,570","662.51","579.90","375.05","-7.76","23.64"
"UNOMINDA","1,118.00","1,160.00","1,113.65","1,107.00","1,153.80","46.80","4.23","14,71,405","167.81","1,207.30","548.60","13.25","81.59"
"360ONE","1,027.00","1,089.00","1,027.00","1,026.80","1,070.00","43.20","4.21","12,40,680","132.59","1,215.00","475.00","9.06","107.83"
"NBCC","176.50","185.23","173.42","173.62","180.90","7.28","4.19","2,38,43,576","427.90","198.30","46.85","-1.50","284.01"
"PCBL","393.15","408.80","391.20","386.80","403.00","16.20","4.19","76,37,884","306.03","419.85","152.70","38.59","160.28"
"BIOCON","330.00","342.00","328.10","327.65","340.90","13.25","4.04","30,40,369","101.94","376.80","217.50","-3.52","33.26"
"PAYTM","544.00","569.90","536.45","538.80","560.35","21.55","4.00","1,31,34,779","729.12","998.30","310.00","22.58","-34.84"
"COROMANDEL","1,692.85","1,780.00","1,690.00","1,687.50","1,754.65","67.15","3.98","6,93,778","120.72","1,780.00","1,019.05","11.10","64.48"
"TECHM","1,558.40","1,589.00","1,531.30","1,524.40","1,585.00","60.60","3.98","32,24,481","505.02","1,589.00","1,098.15","4.56","28.70"
"BORORENEW","500.00","515.70","500.00","490.70","510.00","19.30","3.93","8,10,959","41.33","669.35","391.05","0.47","10.91"
"POLYCAB","6,460.00","6,709.00","6,415.05","6,413.35","6,664.95","251.60","3.92","4,79,575","317.18","7,331.45","3,801.00","0.68","38.53"
"PFC","493.50","505.15","489.05","484.65","503.50","18.85","3.89","1,03,78,455","515.78","580.00","200.44","-8.24","86.17"
"POLYMED","1,891.95","1,961.05","1,877.55","1,877.35","1,950.20","72.85","3.88","59,234","11.49","2,236.60","1,250.10","-8.23","41.22"
"SUZLON","77.95","80.50","74.12","76.77","79.73","2.96","3.86","15,56,13,726","1,210.83","84.29","19.40","43.07","305.84"
"MANKIND","2,239.00","2,305.00","2,216.25","2,216.20","2,299.95","83.75","3.78","11,94,894","270.55","2,490.00","1,683.05","8.75","25.66"
"CREDITACC","1,179.60","1,225.00","1,153.00","1,177.65","1,222.00","44.35","3.77","3,18,906","37.62","1,796.00","1,153.00","-5.19","-13.77"
"DIXON","12,087.00","12,423.60","12,025.20","11,913.90","12,360.80","446.90","3.75","5,95,362","731.39","12,879.00","4,585.00","-1.41","164.28"
"ADANIPOWER","683.00","700.00","671.00","674.05","699.20","25.15","3.73","1,62,81,420","1,103.33","895.85","274.40","-2.11","143.38"
"SUNDARMFIN","3,813.25","4,034.95","3,813.25","3,876.35","4,020.00","143.65","3.71","54,050","21.41","4,998.00","2,493.10","-4.78","59.07"
"CONCORDBIO","1,577.75","1,655.75","1,573.30","1,572.10","1,630.00","57.90","3.68","1,00,537","16.36","1,799.00","900.05","-3.98","-"
"GRASIM","2,512.40","2,608.00","2,512.40","2,512.40","2,604.00","91.60","3.65","7,25,887","185.87","2,877.75","1,758.05","-8.03","44.40"
"CAMS","4,166.45","4,325.00","4,160.05","4,168.75","4,320.00","151.25","3.63","4,34,508","185.15","4,910.00","2,230.00","1.09","68.46"
"RRKABEL","1,595.00","1,643.30","1,588.05","1,577.80","1,635.00","57.20","3.63","1,40,604","22.81","1,901.95","1,136.80","-7.79","-"
"ASHOKLEY","249.05","256.90","248.50","246.45","255.35","8.90","3.61","1,12,52,720","284.25","259.00","157.55","12.06","35.49"
"CCL","666.00","698.00","666.00","664.15","688.00","23.85","3.59","8,11,262","55.69","698.00","551.60","14.78","11.05"
"PATANJALI","1,772.00","1,844.00","1,764.40","1,764.30","1,827.00","62.70","3.55","10,20,964","183.94","1,844.00","1,169.95","17.06","-"
"JYOTHYLAB","550.00","566.10","538.00","540.90","560.00","19.10","3.53","6,05,430","33.26","593.45","316.00","13.01","72.36"
"CANFINHOME","805.40","839.00","805.40","805.40","833.50","28.10","3.49","3,97,103","32.82","938.00","680.00","-5.99","13.49"
