"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 13-Dec-2023"
"NIFTY 500","23,076.95","23,125.55","22,876.70","23,095.75","22,934.40","-","-161.35","-0.70","1,78,05,17,711","70,976.92","24,573.40","18,934.75","5.16","20.57"
"CRAFTSMAN","5,084.05","5,894.70","5,064.55","5,097.85","5,725.00","-","627.15","12.30","3,64,987","200.41","7,121.25","3,782.05","8.68","-3.78"
"TECHNOE","1,501.20","1,595.00","1,475.05","1,491.60","1,592.00","-","100.40","6.73","4,11,751","63.38","1,822.00","607.20","3.23","95.13"
"BHARTIHEXA","1,455.40","1,609.30","1,442.90","1,450.30","1,545.00","-","94.70","6.53","43,76,818","672.17","1,609.30","755.00","2.00","-"
"KFINTECH","1,243.00","1,342.90","1,228.50","1,235.90","1,312.00","-","76.10","6.16","41,97,127","546.92","1,342.90","456.25","26.43","140.96"
"CONCORDBIO","2,078.00","2,185.50","2,050.05","2,059.10","2,180.00","-","120.90","5.87","2,25,125","48.45","2,664.00","1,314.00","8.50","55.21"
"IGL","382.05","401.90","378.25","381.35","401.90","-","20.55","5.39","1,18,37,397","465.20","570.35","306.10","-6.03","-6.61"
"GODREJIND","1,111.70","1,171.10","1,084.20","1,101.70","1,159.00","-","57.30","5.20","5,18,951","58.78","1,314.00","658.05","18.21","61.80"
"EIDPARRY","928.80","997.00","926.85","926.70","974.00","-","47.30","5.10","66,85,927","655.53","997.00","536.90","18.58","66.45"
"MANKIND","2,672.15","2,850.00","2,626.05","2,661.80","2,790.00","-","128.20","4.82","23,80,236","664.17","2,874.00","1,851.05","2.47","37.95"
"KPRMILL","1,075.90","1,163.00","1,065.00","1,073.25","1,122.00","-","48.75","4.54","46,94,727","532.95","1,163.00","710.00","16.66","26.28"
"RADICO","2,484.00","2,608.95","2,450.00","2,455.30","2,559.90","-","104.60","4.26","23,09,874","588.12","2,608.95","1,429.85","9.17","57.02"
"ACE","1,458.00","1,515.00","1,454.05","1,452.95","1,504.00","-","51.05","3.51","24,02,772","360.30","1,695.00","780.00","16.95","72.49"
"CLEAN","1,422.00","1,478.00","1,416.05","1,422.25","1,470.05","-","47.80","3.36","2,35,935","34.21","1,690.00","1,243.00","9.52","-6.85"
"VIPIND","475.80","491.00","470.20","476.50","490.80","-","14.30","3.00","4,83,351","23.15","658.20","428.50","2.13","-23.19"
"TRIVENI","456.00","473.90","451.05","458.75","472.00","-","13.25","2.89","10,19,533","47.65","518.00","267.50","21.52","32.26"
"AUROPHARMA","1,206.20","1,256.40","1,203.15","1,213.75","1,248.80","-","35.05","2.89","22,70,629","282.60","1,592.00","958.50","-2.82","18.74"
"GLAXO","2,285.00","2,339.50","2,270.10","2,264.95","2,330.00","-","65.05","2.87","1,00,687","23.33","3,088.00","1,667.85","-7.82","30.01"
"APLLTD","1,031.00","1,074.00","1,031.00","1,035.40","1,065.00","-","29.60","2.86","1,40,435","14.79","1,303.90","746.00","0.72","33.64"
