"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 20-Sep-2023"
"NIFTY 500","23,956.55","24,243.15","23,885.00","23,853.95","24,193.80","-","339.85","1.42","4,23,72,33,135","1,62,859.31","24,243.15","16,466.25","3.21","40.17"
"CONCORDBIO","2,250.15","2,664.00","2,140.00","2,250.55","2,591.00","-","340.45","15.13","40,08,375","1,026.80","2,664.00","958.70","62.71","164.50"
"PRSMJOHNSN","196.90","224.95","194.25","195.43","219.32","-","23.89","12.22","2,13,39,604","466.55","246.00","120.00","36.02","71.52"
"RITES","356.00","384.00","354.65","683.45","375.95","-","36.70","10.82","1,33,84,039","492.35","412.98","216.15","-43.17","-23.81"
"MAXHEALTH","981.00","1,090.00","973.25","984.85","1,085.75","-","100.90","10.25","99,30,210","1,044.37","1,090.00","531.05","22.99","96.59"
"IRB","59.40","65.50","59.01","59.01","64.99","-","5.98","10.13","13,03,58,748","817.09","78.15","28.75","-3.46","111.68"
"COCHINSHIP","1,688.00","1,846.05","1,682.15","1,678.25","1,846.05","-","167.80","10.00","58,00,913","1,047.58","2,979.45","435.60","-10.82","84.21"
"HUDCO","232.25","252.85","231.60","230.50","251.60","-","21.10","9.15","3,98,36,437","980.73","353.70","70.50","-12.05","192.60"
"PHOENIXLTD","1,820.00","1,950.00","1,722.05","3,531.80","1,927.10","-","161.20","9.13","12,96,237","234.04","2,068.50","864.03","-50.03","0.68"
"GRSE","1,709.50","1,871.00","1,672.00","1,700.95","1,848.00","-","147.05","8.65","58,10,787","1,060.52","2,833.80","648.30","5.96","129.44"
"ASAHIINDIA","718.80","797.45","712.15","708.45","766.65","-","58.20","8.22","63,07,629","480.71","797.45","501.55","18.44","26.09"
"INOXWIND","242.75","260.00","239.15","241.53","259.60","-","18.07","7.48","3,00,82,498","757.75","260.00","47.05","13.91","32.75"
"MAZDOCK","4,081.30","4,423.00","4,012.15","4,059.65","4,360.90","-","301.25","7.42","60,28,180","2,599.15","5,860.00","1,742.00","-2.10","98.79"
"DEVYANI","197.40","211.00","195.45","195.99","210.50","-","14.51","7.40","2,08,51,836","428.71","223.00","142.25","15.71","0.57"
"ESCORTS","3,835.95","4,097.40","3,820.90","3,816.75","4,097.40","-","280.65","7.35","17,01,708","687.12","4,409.55","2,648.40","7.07","30.47"
"KFINTECH","1,019.90","1,085.95","993.10","1,010.10","1,082.00","-","71.90","7.12","26,32,390","275.61","1,189.00","425.55","3.79","133.57"
