"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 22-Sep-2023"
"NIFTY 500","24,294.80","24,393.70","24,262.30","24,193.80","24,379.20","-","185.40","0.77","3,56,90,97,464","90,360.41","24,393.70","16,466.25","3.31","40.17"
"SBFC","93.99","105.81","92.58","88.18","105.15","-","16.97","19.24","12,11,57,618","1,235.57","105.81","72.40","4.28","3.50"
"AMBER","4,420.00","5,187.95","4,382.35","4,347.55","4,924.00","-","576.45","13.26","30,05,187","1,470.77","5,187.95","2,721.05","3.62","46.52"
"VIPIND","502.80","564.80","502.80","498.80","555.50","-","56.70","11.37","1,06,62,239","577.74","697.40","428.50","8.01","-24.48"
"FINCABLES","1,394.00","1,559.00","1,392.00","1,387.20","1,517.10","-","129.90","9.36","36,36,846","550.60","1,700.00","831.25","-6.11","27.81"
"MAHABANK","59.00","63.45","58.83","58.42","63.20","-","4.78","8.18","4,46,36,814","276.75","73.50","38.65","-6.24","24.56"
"GODREJPROP","3,001.00","3,204.50","3,001.00","2,988.00","3,200.00","-","212.00","7.10","28,27,062","886.58","3,402.70","1,532.00","3.62","94.18"
"DEEPAKFERT","977.00","1,046.55","975.00","971.85","1,038.40","-","66.55","6.85","22,85,748","234.84","1,124.00","450.00","-9.06","55.68"
"ASAHIINDIA","777.55","833.95","777.55","777.55","824.00","-","46.45","5.97","34,62,434","283.25","833.95","501.55","19.15","26.09"
"GPIL","950.00","995.60","946.55","939.15","990.00","-","50.85","5.41","11,86,118","115.68","1,223.95","572.85","-4.20","56.17"
"KALYANKJIL","733.40","786.25","733.00","730.50","770.00","-","39.50","5.41","2,49,17,201","1,916.56","786.25","202.80","24.04","238.66"
"RBA","107.60","114.00","106.78","107.75","113.50","-","5.75","5.34","84,95,696","95.02","133.70","91.50","-3.63","-12.79"
"ABFRL","330.00","351.45","327.70","327.75","345.10","-","17.35","5.29","1,23,42,152","423.74","351.45","198.75","2.58","52.76"
"WELCORP","700.00","700.00","658.85","657.75","692.00","-","34.25","5.21","10,97,663","75.13","750.00","376.15","-9.41","69.09"
"ATGL","845.00","855.00","822.95","788.70","829.70","-","41.00","5.20","61,22,329","512.89","1,259.40","522.00","-8.11","23.88"
"MANYAVAR","1,294.00","1,368.90","1,288.95","1,292.30","1,358.00","-","65.70","5.08","7,94,298","105.34","1,487.90","886.05","10.05","-3.72"
"CESC","187.00","196.70","186.37","186.36","195.80","-","9.44","5.07","83,06,145","161.00","210.00","82.30","-2.02","105.24"
"CENTRALBK","59.80","61.75","59.17","58.68","61.65","-","2.97","5.06","1,16,35,667","70.83","76.90","40.85","-2.49","15.40"
"DEVYANI","209.88","222.74","204.30","209.88","220.30","-","10.42","4.96","1,05,26,950","227.45","223.00","142.25","13.50","0.57"
"UCOBANK","48.00","50.64","48.00","47.93","50.30","-","2.37","4.94","1,20,83,132","60.26","70.65","34.75","-7.58","11.34"
"INDIANB","510.00","539.35","510.00","509.50","534.50","-","25.00","4.91","29,29,528","155.60","632.70","390.90","-7.08","21.06"
"IOB","58.60","61.80","58.20","58.44","61.20","-","2.76","4.72","2,03,91,748","123.04","83.75","36.65","-5.88","33.27"
"LINDEINDIA","8,264.00","8,744.75","8,164.00","8,169.65","8,547.55","-","377.90","4.63","2,93,518","250.47","9,935.05","5,325.00","11.79","37.76"
"MINDACORP","556.00","616.00","550.00","559.60","584.85","-","25.25","4.51","63,82,489","378.48","652.00","313.00","-11.34","69.40"
"MANKIND","2,592.90","2,665.00","2,586.25","2,535.75","2,650.00","-","114.25","4.51","9,22,783","242.45","2,665.00","1,683.05","7.34","44.75"
"KARURVYSYA","212.99","220.79","211.10","210.19","219.55","-","9.36","4.45","40,79,958","88.40","232.75","127.50","-5.51","55.06"
"APLLTD","1,125.00","1,169.55","1,125.00","1,114.95","1,164.00","-","49.05","4.40","1,68,876","19.39","1,284.95","707.15","1.24","48.23"
"KNRCON","317.90","329.95","317.00","316.05","329.75","-","13.70","4.33","13,92,456","44.98","415.40","236.75","-7.43","15.92"
"GLENMARK","1,705.00","1,764.00","1,705.00","1,636.75","1,707.00","-","70.25","4.29","48,85,392","847.48","1,769.60","722.10","-2.96","103.88"
"NAM-INDIA","671.05","697.95","667.20","665.25","692.95","-","27.70","4.16","14,15,118","97.00","739.45","318.00","-5.96","100.95"
"CANBK","105.80","109.80","105.05","104.96","109.30","-","4.34","4.13","4,40,04,939","477.19","128.90","68.42","-6.37","-72.59"
"GAIL","213.00","220.95","211.63","212.16","220.85","-","8.69","4.10","1,75,38,036","381.70","246.30","116.15","-7.54","74.40"
"ESCORTS","4,105.95","4,252.70","4,079.25","4,079.25","4,245.05","-","165.80","4.06","5,43,508","226.81","4,409.55","2,648.40","5.25","30.47"
"UNITDSPR","1,585.00","1,637.00","1,561.15","1,574.15","1,636.00","-","61.85","3.93","6,70,632","107.34","1,637.00","981.35","10.11","-"
"APARINDS","9,650.00","9,830.05","9,370.85","9,417.85","9,785.00","-","367.15","3.90","1,62,331","157.21","10,624.80","4,545.65","5.22","78.50"
"INDUSTOWER","399.90","412.60","397.10","388.25","403.00","-","14.75","3.80","2,74,47,906","1,110.98","460.35","166.70","-10.61","111.70"
"ELECON","638.00","674.00","636.10","636.10","660.00","-","23.90","3.76","17,03,108","112.97","716.75","346.08","4.12","-11.56"
"IDEA","11.27","11.94","10.72","10.47","10.86","-","0.39","3.72","1,68,24,75,399","1,877.64","19.18","9.79","-33.82","-7.35"
"GRANULES","542.05","562.00","537.30","539.90","560.00","-","20.10","3.72","44,01,317","243.70","721.00","318.95","-21.03","60.30"
"BANKBARODA","237.30","245.40","236.00","235.50","244.15","-","8.65","3.67","1,66,96,706","405.56","299.70","187.85","-6.73","9.36"
"BAJAJ-AUTO","12,000.00","12,380.00","12,000.00","11,941.70","12,378.55","-","436.85","3.66","7,35,579","898.98","12,380.00","4,903.05","14.75","138.78"
"ENGINERSIN","212.50","221.17","210.00","211.76","219.50","-","7.74","3.66","79,01,312","171.29","303.90","116.45","-1.71","46.90"
"M&MFIN","323.05","332.65","320.50","320.75","332.40","-","11.65","3.63","27,14,224","89.06","336.85","237.35","5.16","6.02"
"DALBHARAT","1,840.00","1,905.00","1,837.15","1,835.90","1,902.50","-","66.60","3.63","3,65,788","68.91","2,430.70","1,651.40","1.77","-18.24"
"BLUESTARCO","1,944.05","2,039.95","1,907.85","1,930.10","2,000.00","-","69.90","3.62","8,66,490","170.43","2,039.95","814.00","11.98","115.82"
"DLF","883.70","919.00","880.30","877.60","909.00","-","31.40","3.58","68,22,019","616.91","967.60","512.55","3.31","69.90"
"FLUOROCHEM","4,310.25","4,442.90","4,277.75","4,240.45","4,390.00","-","149.55","3.53","2,82,959","124.18","4,510.50","2,476.00","32.38","41.52"
"LLOYDSME","853.00","874.80","839.05","843.05","872.00","-","28.95","3.43","6,85,827","59.04","874.80","492.00","9.71","57.21"
"OIL","565.00","586.50","557.15","562.80","582.00","-","19.20","3.41","50,05,764","288.87","767.90","182.27","-17.45","102.63"
