"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 24-Jul-2023"
"NIFTY 500","23,022.80","23,031.95","22,307.20","22,942.65","22,865.20","-77.45","-0.34","4,56,31,55,207","1,43,698.01","23,288.05","16,466.25","2.83","35.58"
"ASTRAZEN","6,249.80","7,361.95","6,225.00","6,247.05","7,070.00","822.95","13.17","3,54,543","245.20","7,572.20","3,749.80","11.18","87.47"
"NETWORK18","78.87","85.98","75.75","78.17","85.98","7.81","9.99","42,08,152","35.06","135.70","57.15","2.34","46.61"
"MAPMYINDIA","2,278.95","2,525.95","2,240.00","2,260.30","2,455.40","195.10","8.63","14,67,058","357.12","2,747.85","1,445.00","-2.95","69.19"
"ASAHIINDIA","643.50","704.75","642.90","643.50","697.00","53.50","8.31","19,99,669","135.15","722.00","491.60","2.55","23.07"
"BORORENEW","485.05","534.65","479.00","479.80","517.00","37.20","7.75","2,18,49,333","1,136.62","669.35","391.05","5.62","4.66"
"RAJESHEXPO","302.40","322.20","298.50","297.65","318.00","20.35","6.84","67,78,592","212.82","560.00","261.00","9.47","-38.67"
"NCC","320.00","349.70","295.50","316.50","337.95","21.45","6.78","5,10,96,336","1,700.74","349.70","135.70","4.34","143.95"
"TITAN","3,255.10","3,490.00","3,232.15","3,254.45","3,468.00","213.55","6.56","71,59,507","2,449.38","3,886.95","2,882.45","1.97","16.37"
"ITC","466.55","497.40","466.40","466.55","496.95","30.40","6.52","5,40,44,423","2,611.86","499.70","399.35","17.30","4.42"
"SUNDARMFIN","4,320.00","4,843.50","4,252.50","4,320.70","4,599.00","278.30","6.44","1,80,671","82.21","4,998.00","2,493.10","-2.95","79.39"
"EASEMYTRIP","40.13","43.55","39.94","40.02","42.29","2.27","5.67","6,98,16,550","296.02","54.00","37.00","-1.40","1.05"
"KAJARIACER","1,395.00","1,480.00","1,359.00","1,389.40","1,468.00","78.60","5.66","3,79,116","53.32","1,523.80","1,110.35","6.72","1.38"
"SUZLON","57.20","57.83","54.00","55.08","57.83","2.75","4.99","28,18,87,693","1,621.70","57.83","17.45","9.01","189.15"
"AVANTIFEED","617.50","670.00","604.40","616.35","646.90","30.55","4.96","96,60,457","619.61","672.00","385.90","4.79","63.75"
"ANGELONE","2,118.45","2,316.05","2,025.00","2,120.45","2,225.00","104.55","4.93","31,17,016","688.48","3,896.00","1,462.00","-14.92","39.18"
"QUESS","617.95","657.30","601.05","614.35","643.40","29.05","4.73","13,58,495","86.29","670.40","397.70","7.06","50.31"
"TV18BRDCST","41.34","43.80","39.21","41.22","43.12","1.90","4.61","1,28,41,071","53.30","68.70","38.65","-1.85","6.77"
"TATACONSUM","1,215.00","1,262.60","1,200.25","1,204.80","1,258.00","53.20","4.42","51,40,297","636.08","1,269.00","828.25","15.85","45.63"
"TORNTPHARM","3,035.00","3,176.55","2,993.85","3,029.80","3,162.00","132.20","4.36","5,85,410","180.97","3,176.55","1,772.05","10.86","61.71"
"KALYANKJIL","529.00","561.65","497.55","529.30","552.00","22.70","4.29","74,27,646","400.91","561.65","162.65","22.02","219.88"
"JUBLINGREA","556.40","585.00","525.00","555.95","576.70","20.75","3.73","7,79,688","43.94","617.00","399.00","8.12","42.74"
"SONATSOFTW","666.95","706.00","639.45","663.35","686.40","23.05","3.47","15,01,617","102.08","870.00","469.60","12.96","-34.41"
"CONCORDBIO","1,661.00","1,729.35","1,653.25","1,663.00","1,720.00","57.00","3.43","1,05,573","17.96","1,799.00","900.05","10.28","-"
"INDUSTOWER","424.00","439.40","403.80","421.75","435.80","14.05","3.33","3,48,18,877","1,483.11","439.40","157.35","29.16","156.45"
"JSWINFRA","321.05","332.00","310.20","317.45","327.90","10.45","3.29","67,72,580","219.72","360.95","142.20","5.28","-"
"PPLPHARMA","154.49","156.50","147.11","151.42","156.30","4.88","3.22","63,50,723","97.85","166.70","87.50","-0.27","48.67"
"NUVAMA","4,800.00","4,921.70","4,600.00","4,743.65","4,894.75","151.10","3.19","59,536","28.27","5,500.00","2,100.00","-3.98","-"
"UNOMINDA","985.60","1,018.00","956.60","978.80","1,009.25","30.45","3.11","7,49,187","74.65","1,207.30","548.60","-6.45","77.77"
"GODREJCP","1,469.00","1,525.00","1,458.30","1,470.15","1,515.00","44.85","3.05","27,13,959","407.89","1,525.00","959.80","11.78","46.34"
"CREDITACC","1,280.00","1,309.00","1,261.95","1,267.15","1,304.95","37.80","2.98","3,82,833","49.30","1,796.00","1,190.10","-11.51","-5.09"
"KAYNES","3,945.60","4,080.00","3,726.00","3,919.10","4,036.00","116.90","2.98","2,47,583","98.15","4,574.15","1,685.00","3.80","124.36"
