"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 26-Oct-2023"
"NIFTY 500","22,819.80","22,839.20","22,362.80","22,787.85","22,499.05","-","-288.80","-1.27","2,61,67,76,174","99,886.53","24,573.40","16,983.05","-7.68","35.90"
"THERMAX","5,188.95","5,450.00","5,159.15","5,183.85","5,426.40","-","242.55","4.68","2,90,808","155.53","5,839.95","2,500.25","4.46","89.72"
"J&KBANK","93.65","99.88","88.60","93.90","98.16","-","4.26","4.54","1,24,21,947","117.64","152.50","88.11","-10.46","-1.78"
"LAURUSLABS","443.05","478.60","443.05","447.30","463.65","-","16.35","3.66","1,98,81,092","930.24","518.00","349.40","0.94","29.71"
"MAXHEALTH","903.20","943.00","902.45","906.15","938.80","-","32.65","3.60","14,72,612","136.62","1,118.00","538.65","-5.24","70.84"
"SUNDARMFIN","4,715.05","4,940.60","4,633.10","4,702.60","4,869.00","-","166.40","3.54","74,645","35.76","5,535.85","2,942.70","-1.79","52.00"
"BIKAJI","860.00","918.00","850.55","834.85","864.00","-","29.15","3.49","18,99,218","165.93","1,007.95","450.20","-9.22","88.91"
"INDHOTEL","672.65","695.35","656.45","667.00","690.00","-","23.00","3.45","59,54,183","404.56","720.45","371.60","-2.63","84.43"
"PTCIL","11,899.90","12,299.95","11,224.05","11,814.75","12,220.00","-","405.25","3.43","21,003","24.12","15,702.10","4,469.35","-","142.77"
"TORNTPHARM","3,329.95","3,448.15","3,329.95","3,321.30","3,433.10","-","111.80","3.37","5,51,899","188.01","3,590.70","1,822.55","0.14","81.67"
"KANSAINER","274.00","279.85","265.75","270.75","279.05","-","8.30","3.07","12,11,377","33.29","357.30","251.85","-9.46","-10.59"
"GODREJCP","1,288.00","1,328.85","1,275.00","1,255.10","1,292.00","-","36.90","2.94","32,23,478","416.36","1,541.85","959.80","-9.67","33.97"
"DEEPAKFERT","1,116.00","1,171.00","1,060.05","1,125.50","1,155.00","-","29.50","2.62","17,38,877","190.21","1,171.00","450.00","6.67","83.70"
"LALPATHLAB","3,073.40","3,144.50","3,045.50","3,049.10","3,125.30","-","76.20","2.50","3,23,785","100.57","3,653.95","1,943.70","-5.81","33.56"
"CGCL","181.00","185.80","177.99","180.34","184.75","-","4.41","2.45","2,32,306","4.21","289.25","177.99","-12.07","-76.03"
"KPRMILL","883.70","924.90","863.25","883.70","905.00","-","21.30","2.41","1,61,533","14.32","1,053.00","710.00","-10.21","13.52"
"ITC","475.80","493.50","474.20","471.70","482.25","-","10.55","2.24","3,09,61,625","1,505.60","528.50","399.35","-6.81","11.04"
"METROBRAND","1,165.00","1,195.00","1,135.00","1,162.45","1,187.20","-","24.75","2.13","1,48,846","17.42","1,441.20","990.05","-6.11","-0.57"
"OFSS","10,475.00","11,154.70","10,428.85","10,682.40","10,889.00","-","206.60","1.93","4,32,097","472.20","12,619.00","3,868.80","-2.68","178.99"
