"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 30-Nov-2023"
"NIFTY 500","22,537.80","22,733.75","22,531.90","22,514.35","22,687.00","-","172.65","0.77","2,46,56,22,501","90,460.82","24,573.40","18,582.95","-0.28","26.12"
"ADANIGREEN","1,149.00","1,368.00","1,138.50","1,087.20","1,315.05","-","227.85","20.96","2,37,71,119","2,981.78","2,174.10","870.25","-18.99","28.68"
"ADANIENSOL","748.00","869.75","742.00","726.85","824.55","-","97.70","13.44","3,09,18,520","2,531.33","1,348.00","588.00","-11.14","-3.68"
"PPLPHARMA","247.65","275.00","247.00","245.45","271.20","-","25.75","10.49","2,47,96,691","653.22","307.90","114.35","6.44","112.28"
"EASEMYTRIP","17.04","19.00","17.04","32.65","18.00","-","1.67","10.23","17,01,15,496","312.33","27.00","14.21","-44.49","-53.03"
"FACT","894.95","1,027.00","887.15","894.95","986.00","-","91.05","10.17","94,62,619","937.03","1,187.00","572.60","16.20","41.47"
"LLOYDSME","977.00","1,063.00","972.00","968.70","1,049.90","-","81.20","8.38","22,56,934","233.08","1,063.00","518.40","8.76","98.04"
"SPARC","204.20","220.00","203.64","204.15","220.00","-","15.85","7.76","12,21,487","26.05","472.80","189.75","0.32","-21.24"
"JUBLINGREA","740.00","789.95","738.40","741.70","786.00","-","44.30","5.97","13,44,118","103.74","837.00","420.00","10.83","82.24"
"BHARTIHEXA","1,319.00","1,397.00","1,311.05","1,310.00","1,379.00","-","69.00","5.27","11,17,525","152.91","1,568.00","755.00","-3.70","-"
"HUDCO","227.98","242.50","222.00","227.69","239.65","-","11.96","5.25","2,35,95,944","552.33","353.70","81.20","10.17","178.26"
"CONCORDBIO","2,040.00","2,145.00","2,031.05","2,033.70","2,140.00","-","106.30","5.23","91,057","19.08","2,664.00","1,259.45","17.80","59.14"
"LICI","947.00","992.15","945.00","938.60","984.90","-","46.30","4.93","73,97,971","722.37","1,222.00","667.15","5.41","45.03"
"ZEEL","129.00","132.69","127.50","123.11","129.10","-","5.99","4.87","4,66,63,653","605.65","299.70","114.36","5.70","-48.97"
"NEWGEN","1,153.00","1,187.05","1,150.00","1,130.05","1,185.00","-","54.95","4.86","4,23,226","49.49","1,548.00","667.50","-4.25","-"
"GSFC","214.00","226.00","211.87","213.86","224.10","-","10.24","4.79","83,23,324","184.26","322.25","186.50","7.17","16.01"
"AEGISLOG","881.00","920.00","880.00","872.20","911.00","-","38.80","4.45","13,93,600","125.93","970.00","330.40","15.07","-"
"BALRAMCHIN","561.65","588.00","560.75","561.10","586.00","-","24.90","4.44","12,19,806","70.57","691.80","343.50","-11.29","23.69"
"CAPLIPOINT","2,100.00","2,200.00","2,099.90","2,107.35","2,200.00","-","92.65","4.40","2,61,254","56.72","2,200.00","1,178.00","10.95","75.01"
"BHARTIARTL","1,551.15","1,648.90","1,551.15","1,560.40","1,629.00","-","68.60","4.40","1,07,75,801","1,751.13","1,779.00","960.00","-0.38","60.36"
"JUBLPHARMA","1,188.50","1,239.50","1,172.35","1,188.35","1,238.00","-","49.65","4.18","2,29,537","27.81","1,309.90","422.00","9.03","187.40"
"SANOFI","6,190.95","6,585.00","6,170.30","6,190.95","6,446.85","-","255.90","4.13","11,888","7.54","10,524.95","5,892.80","-2.64","-20.55"
